№ п/п;Код ресурса;Наименование ресурса;Ед.изм.;Кол-во;Сметная стоимоть  в базисном уровне;;;;
;;;;;На ед.    изм.;Общ;ЗП маш;;
51;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения -Кротоновый альдегид;комп.;1;62014,49;62014,49;;;118
52;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения -Метилдиэтаноламин;комп.;1;62014,49;62014,49;;;116
53;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения -Фурфуриловый спирт;комп.;1;62014,49;62014,49;;;117
24;Прайслист ООО «Прибор-ГАНК»;   - Газоанализатор ГАНК-4С Ex (Стац.с маркировкой взрывозащиты 2Exe(ib)dIIBT4 X) для определения-  хлорид калия;комп.;1;62014,49;62014,49;;;112
187;"Прайс-лист ЗАО СКБ ""ХРОМАТЭК""";   - Генератор азота Мощность: 300 Вт. Питание: 220 В, 50 Гц;шт;8;21474,78;171798,24;;;60
188;"Прайс-лист ЗАО СКБ ""ХРОМАТЭК""";   - Генератор водорода Мощность: 280 Вт. Питание: 220 В, 50 Гц;шт;5;21474,78;107373,9;;;63
50;ПрайслистФГУП «СПО «Аналитприбор»;   - Датчик газоанализатор термохимический, 1ЕхdIIСТб, IP66, 4-20мА       ДАТ-М-05;комп.;1;7460,87;7460,87;;;82
51;ПрайслистФГУП «СПО «Аналитприбор»;   - Датчик газоанализатор термохимический, 1ЕхdIIСТб, IP66, 4-20мА   ДАТ-М-05;комп.;1;7460,87;7460,87;;;78
52;ПрайслистФГУП «СПО «Аналитприбор»;   - Датчик газоанализатор термохимический, 1ЕхdIIСТб, IP66, 4-20мА  ДАТ-М-05;комп.;6;7460,87;44765,22;;;77
138;Том 11.4.5, 116.4-01-СМ4.5, КАЦ п.12.37;   - Датчик давления с сигналом 4…20 mA, фланцевого исполнения, взрывозащищенный, с ЖК индикатором МЕТРАН-150;шт.;165;5245,65;865532,25;;;109
22;Прайслист АО «ПГ «Метран»;   - Датчик давления фланцевого исполнения   Метран-150;1 шт.;6;13913,04;83478,24;;;55
28;Прайслист АО «ПГ «Метран»;   - Датчик давления фланцевого исполнения   Метран-150;комп.;13;2086,96;27130,48;;;55
